"sku","qty"
"MFS-1055",100
"MFS-1056",100
"MFS-1057",100
"MFS-1058",100
"MFS-1059",100
"MFS-1060",100
"MFS-1061",100
"MFS-1062",100
"MFS-1063",100
"MFS-1064",100
"MFS-1065",100
"MFS-1066",100
"MFS-1067",100
"MFS-1068",100
"MFS-1069",100
"MFS-1070",100
"MFS-1071",100
"MFS-1072",100
"MFS-1073",100
"MFS-1074",100
"MFS-1075",100
"MFS-1076",100
"MFS-1077",100
"MFS-1078",100
"MFS-1079",100
"MFS-1080",100
"MFS-1081",100
"MFS-1082",100
"MFS-1083",100
"MFS-1084",100
"MFS-1085",100
"MFS-1086",100
"MFS-1087",100
"MFS-1088",100
"MFS-1089",100
"MFS-1090",100
"MFS-1091",100
"MFS-1092",100
"MFS-1093",100
"MFS-1094",100
"MFS-1095",100
"MFS-1096",100
"MFS-1097",100
"MFS-1098",100
"MFS-1099",100
"MFS-1100",100
"MFS-1101",100
"MFS-1102",100
"MFS-1103",100
"MFS-1104",100
"MFS-1105",100
"MFS-1106",100
"MFS-1107",100
"MFS-1108",100
"MFS-1109",100
"MFS-1110",100
"MFS-1111",100
"MFS-1112",100
"MFS-1113",100
"MFS-1114",100
"MFS-1115",100
"MFS-1116",100
"MFS-1117",100
"MFS-1118",100
"MFS-1119",100
"MFS-1120",100
"MFS-1121",100
"MFS-1122",100
"MFS-1123",100
"MFS-1124",100
"MFS-1125",100
"MFS-1126",100
"MFS-1127",100
"MFS-1128",100
